Q_NUMBER,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER,IMAGE
251,Basic rule on a two lane high way is ,keep to the left lane unless over taking,keep the lane with the least traffic,always keep to the right lane at high speed ,,1,
252,"You meet an obstruction on your side of the road, You should",move on as you have priority,accelerate to move quickly,give way to on coming traffic,,3,
253,The white line along the side of the road ,means no parking,means no overtaking,edge of carriage way,,3,
254,The mandatory signs giving orders  are mostly in,Red/Blue circles,Red Triangles,Base triangles,,1,
255,This line means,cross it when ever you feel,cross it when it is safe and come back after over taking,not cross it under any circumstances,,2,
256,Vehicles adjacent to the solid line,can cross line for over taking,cannot cross  for over taking ,cannot stop,,2,
257,"Before you make an ""U"" turn you should ",Select the neutral gear and the indicator,"show the signal for a right turn , watch in the rear wiew mirror  ",wait for signal to turn red,,2,
258,"While taking ""U"" turn in this road, You should ",Move forward since prohibited,Look in the mirror give signal and turn,show the signal pass the vehicle from the opposite direction and turn,,1,
259,"When you are moving from a parking place, You should","use the rear view mirrors, check in the blind spot and give signal",look around the vehicle,sound horn and move ahead,,1,
260,When do you stop on a motor way ,when ordered by police or if traffic signal is red,in an emergency or brake down,all of the above,,3,
261,"You are intending to turn left , you should position your vehicle at ", the middle lane, the left hand lane,on the shoulder of the road,,2,
262,You are in a wrong lane while approaching a busy Junction you should,continue in that lane,stop until other lane is cleared,show signal and cut across,,1,
263,When going straight ahead at a round about,indicate right signal and then left signal,No signals is required,use hazard warning lamp,,2,
264,You must not reverse your vehicle ,on a busy road,on a one way road,all of the above,,3,
265,When do you reverse from a side road in to a main road,only if both roads are clear and empty,at any time,legally not permitted,,3,
266,"When approaching from the rear, where two lanes of traffic have stopped at a signal, you should",pass all the vehicle and stop in front of them,stop behind the last vehicle in the appropriate lane,stop any where,,2,
267,Rear Mirror is slightly curved to,give a wider field of vision,cover the blind spot totally,judge the speed of following vehicle,,1,
268,Noise pollution may result in,disturbing mental equilibrium,Disturbing the concentration of the driver,all of the above,,3,
269,Air pollution affects,Human beings only,plants and animals only,all of the above,,3,
270,Fitment of multi toned horns on a motor vehicle is ,permitted only in emergency,an offence under the law as it causes  noise pollution ,for avoiding accident,,2,
271,"Your vehicle pulls to one side while braking, You should",change the tyres around,pump the pedal when braking,consult your mechanic,,3,
272,What is the common cause of skidding,bad condition of tyres and road,error of driver,both of the above,,3,
273,"While travelling  you are dazzled by head lights of on coming vehicle, you should",pull down your sun visor,slow down and stop,switch on your main beam,,2,
274,What is blind spot,An area not seen in your rear view mirrors,an area not covered by head lights,an area not covered by the  rear view mirror inside your vehicle,,1,
275,"While approaching a road under repair, you comply the permitted speed limit",during day time and working is going on ,During night time only,at all times,,3,
276,Section 185 of MV Act pertains to,Driving at excessive speed,Drunken driving ,Both of the above,,2,
277,Dangerous driving is ,allowed in an emergency situation,punishable offence under section 184of M.V. act,both of the above are correct,,2,
279,"An accident has just happened and the injured person is lying on the road, you should ",protect the area and inform the authorities,protect the area and give first aid to injured,"protect the area, give first aid ,take the injured to the hospital  and inform the authorities",,3,
280,What is the main aim of the first aid,To treat the injury,To prevent aggravating the injury  and its effects,all of the above,,2,
281,How does alcohol affect your driving,It increase your awareness,it reduce your concentration and attention,it increase your confidence,,2,
282,Which of these lights will come after Amber at a traffic light,Red,Green,red or greeen,,1,
283,"While driving you start feeling tired or unable to concentrate, You should ",Stop as soon as it is safe to do so and take rest,switch on the stereo to help you concentrate,speed up to get your destination sooner,,1,
284,"You are drivng at night, what can you do to help you to keep alert?",takes proper rest periods at correct intervals,walk around in fresh air after a rest stop,both of the above,,2,
285,"You are driving a car during a journey you are feeling ill and unable to concentrate, what should you do?",increase your speed to finish your work earlier,continue your journey and keep your windows open,stop in a safe place and if possible seek for medical attention,,3,
286,Anti lock braking system is designed to ,prevent the driving wheel from spinning,prevent moisture from building up inside the braking system,prevent wheels from locking up on braking and avoid skidding of the tyres,,3,
287,"What is ""brake fade""",A reduction of air pressure,smooth progressive braking,reduction of braking effectiveness,,3,
288,To prevent brake fade while descending you should,select neutral for a short distance,repeatedly pump the brake pedal,select a suitable higher power gear and apply brakes if only necessary,,3,
289,"When stopping on an uphill gradient, one should ",Hold the vehicle on the clutch,Hold the vehicle on the foot brake,Hold the vehicle applying parking brake after stopping,,3,
290,"You are driving behind a large vehicle, how can you improve your view ahead?",Overtake as soon as you can,Move over to the left,Stay further back,,3,
291,While driving through a flooded road what should you do?,Stop the vehicle until the flood stops, Watch flood level guage drive in high torque gear with high acceleration,Drive in high torque gear with low acceleration,,2,
292,Driving the vehicle in a neutral gear in down hill is dangerous because it affects the,Cooling system,Speed governor ,Brake system,,3,
293,what is the benefit of   power assisted steering,Reduce tyre wear,assist with braking,reduce driving effort,,3,
294,How can you avoid harsh driving?,gently apply the parking brake,plan and take earlier action in using brake ,slow down by using gears only,,2,
295,On which occasions would passengers be most likely to notice weight transfer?,braking,cornering,both of the above,,3,
296,"Which of the following should you do before a bend, round about or corner?",select the appropriate gear,adjust your speed,both of the above,,3,
297,Hazard warning lamps may only be used at certain times,for going ahead at a junction,For slowing down the rear vehicle,for emergency parking especially on high ways and busy roads,,3,
298,A laminated safety wind screen glass is one which,will not shatter,has a plastic layer pasted between dual glasses,both of the above,,3,
299,What must you do if your vehicle is involved in an accident?,"stop at the scene of the accident, give First Aid to the victim if possible and help him to get medical attention ",drive the vehicle to the nearest police station,inform the insurance authorities at the earliest,inform to police,1,
300,"Your vehicle has hit a parked vehicle.  The owner of that vehicle could not be traced out  at the time, you must ",drive away from the accident spot and clear the damage at the earliest,inform the insurance authorities as soon as possible,inform the police station having jurisdiction over the place in which the accident occurred within 24 hours,,3,
301,While  driving your vehicle on a motor way a front tyre gets burst.  You should ,loosen  the grip on the steering wheel,brake firmly for a stop,hold the steering wheel firmly and stop safely by  using brake,,3,
302,Motor cyclist are advised to wear ------------------------type of clothing at night  to make them visible to other road users,bright clothing,dark clothing,none of this,,1,
303,"Before you open the right side doors on parking, you should",ensure that no vehicle is passing by ,quickly open the door and get down,do not open the right doors and get down through the left only,,1,
304,Which of the following is most important when loading a vehicle?,Loading it towards the rear,loading it towards the front,spreading the load evenly,,3,
305,You are driving a tipper vehicle carrying loose dry sand.  Why should you cover this load properly ?,"To stop handling being affective 
",to set your rear ward vision,to prevent sand being blown into the eyes of other road users,,3,
306,How many people can you carry over the load carried on a truck?,one,as per permit,none,,3,
307,What should be  checked first before turning to the left?,the right side mirror,the left side mirror,look behind over your right shoulders,,2,
308,You are about to move off you should always,using your mirrors  look behind and give proper signal,signal left with indicator and move,use only the off side mirror and move away quickly,,1,
309,At road junction which of the following are most at risk,Cyclist and motor cyclist,pedestrian,both,,3,
310,The turning circle of a vehicle is the,number of turns of the steering wheels between locked,amount by which a vehicle cuts corners,amount of space needed for the vehicle to turn,,3,
311,Before braking in wet condition you should make sure as far as possible that,the gear lever is in neutral,there is no mist or water in your rear view mirror,your vehicle is traveling slowly in a straight line,,3,
312,Your vehicle broken down on a motor way you have several passengers on board you should,stop the vehicle on the left side of the road as you can,move the passengers to the front of your vehicle,both,,1,
313,Wiper  fitted on the windscreen of a vehicle is ,only for rainy season,for cleaning the wind shield at any season,as a signal to the on coming vehicle to stop approaching,,2,
314,"A motor cycle rider observes a signboard which indicates ""Restrictions ends"", can he travel at a speed of ",more than 50 kmph,maximum speed of the vehicle,not more than 50km/hr,,3,
315,The correct procedure for stopping a vehicle not equipped with anti lock brake system,Apply the foot brake firmly in a pumping action until the vehicle has stopped,apply the foot brake firmly once until the vehicle has been stopped ,apply the foot brake and hand brake until the vehicle has stopped,,2,
316,You are driving a vehicle fitted with a speed governor you should be careful when,overtaking another vehicle,cornering,braking,,1,
317,Which of the following is a legal requirement for every vehicle?,First aid box,spare wheel,audio system,,1,
318,A driver of a motor car driving behind a long truck can keep a braking distance,1.2 meters,2.5 meters,safe distance,,3,
319,Traffic signs includes,all signals and warning sign posts,direction posts and marking on road,all of the above,,3,
320,What are the dangerous substances that can be carried on public service vehicle ,Explosives,fuel and lubricant of the vehicles,safely packed catridge of small arms,,2,
321,No driver of a motor vehicle shall sound horn on ,highways,prohibited areas by notification of the authority,rural roads,,2,
322,Which of the safety device fitted in Light Motor vehicle protects the driver from  injury,helmet,Seat belt,none of above,,2,
323,Basic safety requirements of a two wheeler,rear wheel cover/sari guard,crash guard,both of the above,,3,
324,Pedestrians should walk on the ----------------------side of the road,right,left,middle,,1,
325,Things to be checked before a long drive,"fuel, oil, brake fluid, coolant, condition of tyre","spare wheel, tools, tension of all drive belts",all of the above,,3,
326,Reverse driving is permitted only for,Minimum distance required for changing direction,during night driving,driving on ghat roads,,1,
327,Precautions to be followed during parking at night,park out side of the carriage way and use park light and hand brake,park the vehicle on foot path away from traffic,use tyre jacky to prevent roling,,1,
328,Use of LPG as fuel in vehicle ,is prohibited by law,can be used after certification from authorities,cannot be used even in case of modern LPG inbuilt models,,2,
329,Using LPG,Reduces pollution,cost effective,all of the above,,3,
330,On roads with defined lanes,use appropriate indicator signal before changing lanes,lane changing is prohibited by law,peep and see backwards through the front window before changing lanes,None of above,1,
331,Towing is permitted only for,mechanically disabled or incompletely assembled motor vehicles,registered travellers and side cars,all of the above,,1,
332,"During night, a car driving towards you with high beam on, the driver of that car is ",driving with bad manners since high beams blind others,a safe driver since high beam lights up the road,not obeying law,,1,
333,When you want to change from one lane to another you should .....,give proper turn signal,Look through Rear view mirror and change lane if it is safe to do,both of the above,,3,
334,"When you are driving in a four lane road, the vehicle in front of you is moving slowly and driving in the right lane and the road ahead is clear, for overtaking you should",pass the vehicle from the left side,pass the vehicle from the convenient side,pass the vehicle from the right hand side after getting signal from the vehicle at the front,,3,
335,"You are moving into the street from a parallel parking space, you should","blow horn and pull out slowly,",show signal to other traffic and then move carefully,proceed with caution  after making sure that there is no vehicle in the vicinity that may cause an accident,,2,
336,"While on a main road, another vehicle enters from a cross road, which vehicle has the ""Right of way""
",Vehicle on the main road,the vehicle approaching,none of the cars,,1,
337,"In lane traffic,before making a right turn you should be  in",any lane,extreme left lane,extreme right lane,,3,
338,If your vehicle hits a pedestrian you should,identify yourself and leave,"help the person, and call an ambulance",help the injured  for medical aid identify yourself and then report to police,,3,
339,You should not over take,when the road ahead is not visible,on straight road,in rural areas,,1,
340,Reversing is prohibited in ,main road,in one way,at T Junction,,2,
341,While driving on wet or slippery road,tyre pressure must be reduced,avoid sudden braking and acceleration ,vehicle should be driven at high speed ,,2,
342,"While driving a motor cycle behind a four wheeler , you should ",keep the motor cycle in the centre and behind the vehicle ahead,stay slightly on the right or left of the vehicle,none of the above,,2,
343,While driving a motor cycle or an auto rickshaw hand signals can be shown by using,both hands,right hand only,left hand only,,2,
344,"While parking  the vehicle, you should",park the vehicle in such a way that it does not obstruct or make inconvenience to other road users,parrellel to the kerb,right angle to the kerb,,1,
345,"To drive a vehicle with expired insurance, one",should drive cautiously to avoid any accident or loss to third party,should not drive,may drive if the driver has a valid personal life insurance policy,,2,
346,A person affected by a motor vehicle accident can apply for compensation before ,RTO,Motor Accident Claims Tribunal,banker of the driver or owner,,2,
347,The penalty for driving a vehicle under the influence of drugs or alcohol are ,"imprisonment upto six months, fine upto 2000 or both
",strict warning from authorities,a fine of Rs.5000/-,,1,
348," Before leaving your parked vehicle, you should",turn ignition key off,"stop the engine, remove key and engage hand brake",lock the car,,2,
349,A motor driving licence issued in a State is valid,throughout India,throughout  the World,only in the State of issue,"In that particular 
region only",1,
350,You can hold,a maximum of 3 licence,only one licence,"any number of licences however, each licence  authorise only one class of vehicle for driving",,2,
351,Can you give a motor vehicle for driving to a person who does not have a valid licence?,"yes, since the driver solely is responsible","No, since it is a serious offence",an offence only if the vehicle involves in an accident,,2,
352,Whether extra head light can be provided other than the standard head lights.,"yes, adding extra light brightens the road","No, you should not",Can be provided on the bottom part of the vehicle,,2,
353,Driving of a vehicle with the pollution values exceeding the limits.,is permitted in emergency,is an offence under law,is liable for a strict warning from authorities,,2,
354,Abrupt braking shall not be resorted to,unless it is absolutely necessary,on down hill,on main road,,1,
355,Attaching or hanging of something on the rear view mirror is ,against regulation,"permitted, depending upon its size",permitted if the object does not obstruct the view of the driver,,1,
356,"While passing a procession, body of troops or men at work  you should",proceed at regular speed,stop,proceed with not more than 25 Km/hr and carefully,,3,
357,To stop a motor cycle,apply rear brakes and after slowing apply front brakes,apply both front and rear brakes simultaneously,apply rear brake only,,2,
358,While travelling together (group riding) two or more motor cycles can take the position,side by side,maintain the lane in a staggered position keeping a proper distance between motor cycle,travel behind each other in a single line,,2,
359,"While approaching a section of road way when there is loose sand or gravel, you should",hit the area as fast as possible,go as slowly as possible,slow down change to high torque gears before entering,,2,
360,You can conserve fuel when you drive the vehicle at,high speeds in high torque gears,high speed in low torque gears,a moderate uniform speed of 45-55 KMPH in top gear,,3,
361,Exhaust of your vehicle contains,"oxygen, Nitrogen and hydrogen","carbon dioxide, nitrogen and water","carbon monoxide, nitrogen oxide, and hydro carbon",,3,
362,Failed to produce the P.U.C Certificate within 7 days of the detection by the Inspecting officer will attract,cancellation of driving licence,Suspension of Registration Certificates,Cancellation of Insurance Certificates,,2,
363,Which is the poison gas emitted through the exhaust gas of petrol vehicle,ammonia,carbon monoxide,chlorine,,2,
364,"It is dangerous to drive with bald(worn out) tyres, since ",the vehicle pick up speed quickly,It has little road grip,it has too much road grip,,2,
365,A vehicle with a temporary Registration number plate can be used on road,for 30 days,only for the purpose of registration,for 6 months,,2,
366,Over speeding or dangerous driving may,attracts a strict warning for the authorities,is an offence and  is punishable , attract other road users,,2,
367, Clutch riding or Riding on clutch means,using clutch frequently,keeping a foot on the clutch pedal,not using clutch at all,,2,
368,When a vehicle is approaching with  flashing red or blue light  you should ,keep to the left of the road and slow down,stop where you are,ignore the vehicle ,,1,
369,You can open the doors on the traffic side(right side) when,traffic is clear,the car stop completely,after signalling other cars to side,,1,
370,To park in a space where there is room for only one car.  You should,pull slowly into the parking space,park carefully into the parking space,park in front of the space,,2,
371,"When your vehicle skid while driving, You should",turn steering both the left and right,put on the brakes first,turn the steering wheel in the direction of the car is skidding,,3,
372,Fitment of a multi toned horn in a vehicle is,allowed,not recommended since it is a costly alternative,is against law,,3,
373,Flashing yellow traffic light means,continue at the same speed,"stop, if possible to do so.",slow down and proceed with caution,,3,
374,"When you observe a yellow traffic light glowing  in an intersection, you should ",hurry to cross,stop at the stop line,proceed across the intersection with caution,,3,
375,A flashing red light means,stop and proceed with caution,slow sign,yield right of way sign,,1,
376,When you are approaching a round to which you are about to enter you should,continue into the circular traffic at slow speed,give way to the vehicles coming from the right direction,use the outside lane only,,2,
377,"When you approach an intersection and you are in main road without traffic lights, police man and traffic signs, you should",slow down and be cautious to negotiate the intersection,come to full stop and proceed with caution,not change speed if the way is clear,,1,
378,Emergency vehicles means,road rollers and cranes,mobile automobile work shop,ambulance and fire service vehicles,,3,
379,Drivers should not sound horn ,in one way, on main road,at silent zone,,3,
380,Registration numbers  should be illuminated by,red light,white light,blue light,,2,
381,Mandatory signs are exhibited in ,circular shape except stop and give way signs,triangular shape,rectangular shape,,1,
382,Cautionary signs are exhibited in ,circular shape ,triangular shape,rectangular shape,,2,
383,Informative signs are exhibited in ,circular shape,triangular shape,rectangular shape,,3,
384,A school bus can be identified by ,Creame yellow paint,red paint,green paint,,1,
385,"While you intend to take a right or left turn, the sequence of action which you have to do ",gear -mirror-signal,mirror-gear-signal,signal-gear-mirror,,1,
386,The sequence of operation when your vehicle moves from a stationary position are ,mirror-start-gear-signal-move,start-gear-mirror-signal-move,start-mirror-signal-gear-move,,2,
387,The safe way to stop the vehicle,press clutch and then brake,press brake and then clutch,press clutch and brake simultaneously,,2,
388,The safest way to negotiate to steep descent,use higher torque gear with brake,use top gear with brake,use brake and clutch simultaneously,,1,
389,If your vehicle became break down during night,"stop, use hand brake and exhibit  hazardous warning light",stop and exhibit red light,leave the vehicle ,,1,
390,When a cow is standing across the road,wait until it clears the road,pass it from front,pass it from behind,,3,
391,Painting olive green in a private motor car is ,not permitted,permitted,special permission is required,,1,
392,"For higher power, the gear to be used",1st gear,top gear,2nd gear,,1,
393,Abrupt braking by driver,is allowed for safety reason,is not encouraged,is allowed in busy roads,,1,
394,Vehicle with left hand controls,can be used,cannot be used,can be used with signalling device only,,3,
395,An accident victim can be treated by ,only a government hospital doctor ,any registered medical practitioner or doctor,by the driver,,2,
396,"While parking your vehicle on a downward gradient, in addition to the application of hand brake, the gear engaged should be ",neutral gear,first gear,reverse gear,,3,
397,While turning to right or left it is more safe if you ,use only indicators,show only hand signal, use both light indicators and hand signal,,3,
398,A driver shall drive in one way,only in the direction specified by the sign board,reverse direction in emergencies ,both ways on sundays,,1,
399,"On ghat roads, when vehicles approach from the opposite sides the driver travelling down hill shall ",drive fast before the opposite vehicle enters,switch on the head lights and take way,give preference to the vehicles going up ,,3,
401,"When you leave a vehicle in a dangerous position, you are inviting action under ",section 121,section 122,serction 185,,2,
402,Driving under the influence of drugs or alcohol invites actions under,section 121,section 125,section 185,,3,
403,"Section 131 of MV Act 1988 lays down the duties of the driver
",regarding the limits of weight,regarding the signal and signalling devices,regarding the precautions at unguarded railway level crossing,,3,
404,Maximum speed limit of an Ambulance ,60 km/hr,70km/hr,80km/hr,,1,
405,"Whether audio-visual equipments are permitted in any class of vehicle? if so, in which class",stage carriage,contract carriage  except AR,E.I.B,,2,
406,Under which circumstance you will avoid overtaking,after a curve,on a curve ,when the visibility ahead is clear ,,2,
407,Which type of parking is more suitable on wide roads,in line,parallel,inclined,,3,
408,When a pedastrian Steps in to a zebra line in front of you to cross the road,stop befor the stop line and treat it as a stop signal,you have to proceed before him,sound horn and speed up your vehicle to cross before him,,1,
409,Using mobile phone while driving can be punished with,A fine of Rs. 100/- only,Disqualify from holding the driving licence Under CMVR 21(25),A fine of Rs. 500/- only,,2,
410,How many students aged 5 to 12 are permitted to travel in an auto rickshaw,8,7,6,,3,
411,While driving behind a motor cycle on a badly maintained road you should,continuously blow horn,over take immediately,keep safe distance,,3,
412,"If you are fined for any traffic violation, you must feel",proud,humiliated,to correct your attitude in future ,,3,
413,"If permitted, a  free  turn  can be taken in a junction ",while taking a left turn, while travelling straight,while taking a right turn,,1,
414,Seat belts have to be used by ,Driver only,Front seat Passengers only,Both,,3,
415,Over loading of any kind is ,prohibited under law,if the driver can control the vehicle safely,allowed if the driver pays the fine,,1,
416,Not using seat belt can lead to a fine of ,Rs. 250/-,Rs. 50/-,Rs. 100/-,,3,
417,Driving by a drunken  driver is punishable if the quantity of alcohol in blood,exceeds 30mg/100ml of blood,below 30mg/100ml  blood,exceeds 100mg/100 ml of blood,,1,
418,Person sitting or standing by the side of the driver causing inconvenience to control the vehicle,is allowed with the permission of the RTO ,is not allowed,allowed in case of emergency,,2,
419,Vehicle with left hand steering control shall be used,by displaying a board caution left hand drive ,by using light or mechanical indicator system,by using both of the above ,,3,
420,This sign means,Road divides,Staggerd junction ahead,median ahead,,2,
421,Carrying of load which projects backwards beyond the vehicle is ,always permitted ,permitted only to extend upto one meter from the rear end of the vehicle with suitable warning lights or flags,not permitted,,2,
422,How can we overcome the reduction of braking action after water servicing,brakes shall be adjusted by a mechanic,The vehicle to be withdrawn from the traffic at once,by operating the brake at several times at a slow driving speed,,3,
424,"Driver driving  a vehicle in a public place without a licence, is liable for ",penalty only,penalty  for the driver and the owner and/ or  seizure of vehicle,warning  ,,2,
426,In this road you should not,Park the vehicle,Slow the vehicle,Overtake another vehicle,,1,
427,Can we allow any person to travel along with the driver of a tractor,yes,No,Up to 2 persons are permitted ,,2,
428,"When the visibility becomes very low, during the day time in rainy season, the driver shall",use head light,make sure that wiper blades are not old,none of the above,,1,
429,What this road means?,Lane Traffic,Road Divides,One way,,1,
430,Yellow line means ?,No parking ,Stop Line,Do not overtake,,3,
431,What these Line means ?,It act as a median,No parking,No Stopping,,1,
432,A flashing yellow at an intersection means ?,Proceed with caution,Stop and proceed,Proceed fast,,1,
434,What is this line means?,Two line traffic,Road divides,Lane traffic,,1,
435,The picture shows,Tail gating ,Safe distance,Follow the vehicle,,2,
436,What is indicated by these on the instrument console?,warning lamps,Road signs,Hazard lamp,,1,
437,"In case of an
accident,
which
knowledge of
yours can be
helpful to the
injured person",Vehicle Repairing,First -Aid,Legal Help,Police Help,2,
438,"The colour of
number plate of
commercial
vehicle is :-","Yellow
background with
black letter &
number","Black
backgroud with
yellow letter &
number","White
background with
black letter &
number.","Black backgroud 
with white letter
& number.",1,
439,"Which traffic
light should lit
after green",Red,Blue,Yellow,Orange,3,
440,"In case of an
accident, to
seek a
""Emergency
Ambulance"",
you should dial",108,101,100,180,1,
441,"If there is a
yellow light on
the road
crossing what
will you do","Slow down the
vehicle and
Carefully move
ahead","Stop the
vehicle and
wait for green
signal","Shall not
change the
speed and go
ahead with
shouting horn.","You shall do 2
nothing from
above.",2,
442,"You can apply
for a Driving
licence","After 30 days
from the date of
issue of learner's
licence but with in
6 months.","After 60 days
from the date
of issue of
learner's
licence but with
in 6 months","After 90 days
from the date of
issue of
learner's licence
but with in 6
months","After 120 days 1
from the date of
issue of
learner's licence
but with in 6
months.",1,
443,"Minimum age
required to get
a driving
licence for LMV",16 Years,18 Years,"20 Years
",22 Years,2,
444,"Validity of
vehicle
insurance is",6 months,1 Year,2 Years,3 Years,2,
445,"The colour of
number plate of
private vehicle
is","Black backgroud
with yellow letter
& number","Yellow
background
with black letter
& number","White
background with
black letter &
number","Black 3
background with
white letter &
number",3,
446,"Which Sign
denotes
""Compulsory
Cycle Track"" ?",,,,,1,
447,"Which Sign
denotes ""Cycle
Crossing""?",,,,,1,
448,"Which Sign
denotes ""Major
Road Ahead""?",,,,,3,
449,"Which Sign
denotes
""Trucks are
Prohibited"" ?",,,,,1,
450,"Which Sign
denotes ""TIntersection""
?",,,,,3,
451,"Which Sign
denotes ""Left
Hand Curve"" ?",,,,,3,
452,"Which Sign
denotes ""Right
Turn Prohibited
"" ?",,,,,2,
453,"Which Sign
denotes
""Compulsory
Sound Horn"" ?",,,,,3,
454,"Which Sign
denotes
""School Ahead""
?",,,,,4,
455,"Which Sign
denotes
""Parking this
side"" ?",,,,,4,
456,"Which Sign
denotes
""Overtaking is
Prohibited"" ?",,,,,1,
457,"Which Sign
denotes
""Slippery Road""
?",,,,,1,
458,"Which Sign
denotes ""Right
Reverse Bend""
?",,,,,1,
459,"Which Sign
denotes ""Axle
Load Limit"" ?",,,,,3,
460,"Which Sign
denotes ""Road
Widens Ahead""
?",,,,,1,
461,"Which Sign
denotes
""Guarded
Railway
Crossing 200
Meters"" ?",,,,,4,
462,"Which Sign
denotes
""Compulsory
Turn Right"" ?",,,,,2,
463,"Which Sign
denotes ""Men
at Work"" ?",,,,,1,
464,"Which Sign
denotes
""Compulsory
Left Turn
Ahead"" ?",,,,,1,
465,"Which Sign
denotes
""Pedestrians
Prohibited"" ?",,,,,3,
466,"Which Sign
denotes ""UTurn
Prohibited"" ?",,,,,3,
467,"Which Sign
denotes ""Left
Reverse Bend""
?",,,,,4,
468,"Which Sign
denotes ""Bus
Stop"" ?",,,,,1,
469,"Which Sign
denotes ""Width
Limit "" ?",,,,,2,
470,"Which Sign
denotes
""Unguarded
Railway
Crossing 50-
100 Meters"" ?",,,,,1,
471,"Which Sign
denotes ""Load
Limit"" ?",,,,,1,
472,"Which Sign
denotes
""Falling Rocks""
?",,,,,1,
473,"Which Sign
denotes ""First-
Aid Post"" ?",,,,,2,
474,"Which Sign
denotes ""Left
Turn
Prohibited"" ?",,,,,4,
475,"Which Sign
denotes ""Stop""
?",,,,,2,
476,"Which Sign
denotes ""Side
Road Right"" ?",,,,,2,
477,"Which Sign
denotes
""Resting Place""
?",,,,,2,
478,"Which Sign
denotes
""Compulsory
Keep Left"" ?",,,,,3,
479,"Which Sign
denotes
""Compulsory
Ahead Only"" ?",,,,,4,
480,"Which Sign
denotes ""Cross
Road"" ?",,,,,3,
481,"Which Sign
denotes ""Light
Refreshment"" ?",,,,,1,
482,"Which Sign
denotes ""Horns
prohibited"" ?",,,,,3,
483,"Which Sign
denotes ""Give
Way"" ?",,,,,1,
484,"Which Sign
denotes ""Side
Road Left"" ?",,,,,1,
485,"Which Sign
denotes ""Y
Intersection"" ?",,,,All are correct.,4,
486,"Which Sign
denotes Auto
Rickshaw
Parking ?",,,,,2,
487,"Which Sign
denotes
""Narrow Road
Ahead"" ?",,,,,1,
488,"Which Sign
denotes ""Ferry""
?
77 1
Page",,,,,1,
489,"Which Sign
denotes
""Unguarded
Railway
Crossing 200
Mtr. Ahead"" ?",,,,,3,
490,"Which Sign
denotes ""No
Stoping and
Standing"" ?",,,,,1,
491,"Which Sign
denotes
""Animals on
Road""?",,,,,3,
492,"Which Sign
denotes
""Round About""
?",,,,,3,
493,"Which Sign
denotes ""Right
Hair Pin Bend""
?",,,,,2,
494,"Mandatory
signs are
exhibited in?",,,,,1,
495,"Which Sign
denotes
""Guarded
Railway
Crossing 50-
100 Meters"" ?",,,,,4,
496,"Which Sign
denotes
""Eating Place
Ahead"" ?",,,,,3,
497,"Which Sign
denotes ""Steep
Descent"" ?",,,,,4,
498,"Which Sign
denotes
""Height Limit"" ?",,,,,2,
499,"Which Sign
denotes
""Parking-
Scooters and
Motor Cycles""
?",,,,,4,
500,"Which Sign
denotes
""Maximum
Speed Limit"" ?",,,,,3,
501,"Which Sign
denotes ""No
Parking"" ?",,,,,2,
502,"Which Sign
denotes
""Compulsory
Turn Left"" ?",,,,,4,
503,"Which Sign
denotes ""Left
Hair Pin Bend""
?",,,,,3,
504,"Cautionary
signs are
exhibited in?",,,,,3,
505,"Which Sign
denotes ""Steep
Ascent"" ?",,,,,2,
506,"Which Sign
denotes ""Hump
or Rough
Road"" ?",,,,,4,
507,"Which Sign
denotes ""Public
Telephone"" ?",,,,,2,
508,"Which Sign
denotes
""Restriction
Ends"" ?",,,,,1,
509,"Which Sign
denotes ""Hand
Carts
Prohibited"" ?",,,,,1,
510,"Which Sign
denotes ""Loose
Gravel"" ?",,,,,2,
511,"Which Sign
denotes
""Length Limit"" ?",,,,,1,
512,"Informative
signs are
exhibited in?",,,,,2,
513,"Which Sign
denotes
""Pedestrian
Crossing""?",,,,,3,
514,"Which Sign
denotes
""Barrier Ahead""
?",,,,,1,
515,"Which is the
Sign of ""No
Entry"" ?",,,,,2,
516,"Which Sign
denotes ""Petrol
Pump"" ?",,,,,1,
517,"Which Sign
denotes ""Gap
In Median"" ?",,,,,3,
518,"Which Sign
denotes
""Compulsory
Ahead or Turn
Right"" ?",,,,,1,
519,"Which Sign
denotes Both
Side Parking ?",,,,,3,
520,"Which Sign
denotes
""Narrow
Bridge"" ?",,,,,2,
521,"Which Sign
denotes
""Dangerous
Dip"" ?",,,,,2,
522,"Which Sign
denotes
""Vehicles are
Prohibited in
Both Direction""
?",,,,,3,
523,"Which Sign
denotes ""Right
Hand Curve"" ?",,,,,2,
524,"Which Sign
denotes
""Compulsory
Ahead or Turn
Left"" ?",,,,,2,
525,"Which Sign
denotes
""Bullock Carts
Prohibited "" ?",,,,,4,
526,"Which Sign
denotes ""One
Way Traffic"" ?",,,,,2,
527,"Which Sign
denotes
""Speed Limit"" ?",,,,,2,
528,What does this sign indicate?  , No entry ,Both ways prohibited,Danger ahead,,2,
529,What does this sign indicate?,"Bullock Cart, Hand Cart prohibited",Pedestrian Crossing prohibited,No entry,,1,
530,Overtaking is dangerous on ,One ways,Express ways,Blind turns & at the crest of a hill ,,3,
531,The rightmost lane on express way is for,All Vehicles,Overtaking Vehicles , Reserved for fast moving Vehicles,,2,
532,What does this sign indicate?,Cycle Parking prohibited,Compulsory cycle track,Cycles prohibited ,,3,
533,What does this sign indicate?,Parking limit,Vehicle length limit,Vehicle width limit,,2,
